article_id,meth_cv_alignment,meth_cv_rationale,meth_mechanism_operationalised,meth_mechanism_detail,meth_population_fit,meth_population_rationale,meth_error,meth_raw_response
Study012,not_applicable,"No operational theory was identified in Pass 1. The introduction's theoretical framework (Muscle Architecture-Force/Excursion Relationship) was not classified as operational, and no specific, testable predictions from it were provided. Therefore, there is no defined theoretical construct against which to assess the alignment of the operational measures.",not_applicable,NA,within,"The sample consists of patients with acute Achilles tendon ruptures, which is the specific clinical population relevant to the study's intervention and rehabilitation research question.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No operational theory was identified in Pass 1. The introduction's theoretical framework (Muscle Architecture-Force/Excursion Relationship) was not classified as operational, and no specific, testable predictions from it were provided. Therefore, there is no defined theoretical construct against which to assess the alignment of the operational measures."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of patients with acute Achilles tendon ruptures, which is the specific clinical population relevant to the study's intervention and rehabilitation research question."",
  ""notes"": ""The study is a clinical trial comparing two rehabilitation regimens. Its primary and secondary outcomes (heel-rise metrics, MRI measures, strength, patient-reported outcomes) are appropriate for evaluating the efficacy of the intervention in this patient population. However, without a clear, operational theoretical framework specifying constructs to be measured, a formal assessment of construct validity alignment is not applicable."",
  ""methods_extraction_error"": false
}
```"
Study013,not_applicable,"No theoretical framework or specific theory was identified in Pass 1. The study is purely descriptive, comparing physiological responses (EPOC, EE, VO2) across different exercise modalities without testing predictions derived from a named theoretical construct.",not_applicable,NA,within,The sample of older adults (60+ years) with exercise experience is appropriate for a study investigating physiological responses to different exercise modalities in this population.,FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No theoretical framework or specific theory was identified in Pass 1. The study is purely descriptive, comparing physiological responses (EPOC, EE, VO2) across different exercise modalities without testing predictions derived from a named theoretical construct."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample of older adults (60+ years) with exercise experience is appropriate for a study investigating physiological responses to different exercise modalities in this population."",
  ""notes"": ""The study measures physiological outcomes (EPOC, energy expenditure, VO2) but does not invoke any psychological, behavioral, or theoretical construct that requires alignment. It is a comparative physiology study without an explicit theoretical framework to validate."",
  ""methods_extraction_error"": false
}
```"
Study014,aligned,"The study measures strength and power outcomes (e.g., unilateral leg press 1RM, KE MVIC, elbow flexor/extensor MVIC, handgrip MVIC, shot put, CMJ) in both trained and untrained limbs, which directly operationalizes the core phenomenon of cross-education—the transfer of strength or performance gains from a trained limb to the contralateral, untrained limb. The theoretical construct of cross-education is defined by this contralateral transfer effect, and the study's design (comparing changes in the untrained limb across groups) captures it.",endpoints_only,"The theoretical mechanism (neural adaptation) involves changes in corticospinal excitability, interhemispheric inhibition, or bilateral neural drive. The study design captures only the endpoints (training stimulus and strength/power outcomes in both limbs) without measuring any intermediate neural variables (e.g., EMG, TMS, fMRI) that would directly test the proposed neural adaptation mechanism.",within,"The sample includes both children and adults, which is consistent with the broader population for which cross-education effects have been demonstrated, though much foundational work has been in adults.",FALSE,"```json
{
  ""construct_validity_alignment"": ""aligned"",
  ""alignment_rationale"": ""The study measures strength and power outcomes (e.g., unilateral leg press 1RM, KE MVIC, elbow flexor/extensor MVIC, handgrip MVIC, shot put, CMJ) in both trained and untrained limbs, which directly operationalizes the core phenomenon of cross-education—the transfer of strength or performance gains from a trained limb to the contralateral, untrained limb. The theoretical construct of cross-education is defined by this contralateral transfer effect, and the study's design (comparing changes in the untrained limb across groups) captures it."",
  ""mechanism_operationalisation"": ""endpoints_only"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism (neural adaptation) involves changes in corticospinal excitability, interhemispheric inhibition, or bilateral neural drive. The study design captures only the endpoints (training stimulus and strength/power outcomes in both limbs) without measuring any intermediate neural variables (e.g., EMG, TMS, fMRI) that would directly test the proposed neural adaptation mechanism."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample includes both children and adults, which is consistent with the broader population for which cross-education effects have been demonstrated, though much foundational work has been in adults."",
  ""notes"": ""The theory (Neural Adaptation Theory of Cross-Education) requires measurement of contralateral transfer of performance. The study measures this via strength/power tests in the untrained limb. However, the 'neural adaptation' component of the theory is not measured—only the behavioral outcome of transfer is captured. Thus, alignment is strong for the cross-education phenomenon but partial for the specific neural mechanism."",
  ""methods_extraction_error"": false
}
```"
Study015,partial,"The study measures body mass and body composition (fat mass, fat-free mass), which are the ultimate outcomes predicted by both Caloric Balance and Nutrient Balance theories for weight loss. However, the study does not directly measure the core theoretical constructs of 'caloric balance' (energy intake vs. expenditure) or 'nutrient balance' (metabolic partitioning of specific nutrients). The interventions manipulate these constructs via diet prescriptions, but the mechanisms are inferred, not measured.",endpoints_only,"The theoretical mechanism for Caloric Balance Theory is that a sustained hypocaloric state (energy deficit) drives weight loss. For Nutrient Balance Theory, the mechanism is that specific macronutrient ratios (high protein, controlled carbs/fats) optimize metabolic partitioning to preserve lean mass and reduce fat mass during weight loss. The study design captures only the endpoints: it prescribes diets to create these conditions and measures final body composition changes, but does not measure actual energy balance (via doubly labeled water or precise intake/expenditure tracking) or metabolic partitioning (via stable isotopes or hormonal assays) to confirm the proposed mechanisms are operating.",within,"The sample (overfat, moderately active adults without comorbidities) matches the population for which weight loss theories like Caloric and Nutrient Balance are typically applied and tested.",FALSE,"```json
{
  ""construct_validity_alignment"": ""partial"",
  ""alignment_rationale"": ""The study measures body mass and body composition (fat mass, fat-free mass), which are the ultimate outcomes predicted by both Caloric Balance and Nutrient Balance theories for weight loss. However, the study does not directly measure the core theoretical constructs of 'caloric balance' (energy intake vs. expenditure) or 'nutrient balance' (metabolic partitioning of specific nutrients). The interventions manipulate these constructs via diet prescriptions, but the mechanisms are inferred, not measured."",
  ""mechanism_operationalisation"": ""endpoints_only"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism for Caloric Balance Theory is that a sustained hypocaloric state (energy deficit) drives weight loss. For Nutrient Balance Theory, the mechanism is that specific macronutrient ratios (high protein, controlled carbs/fats) optimize metabolic partitioning to preserve lean mass and reduce fat mass during weight loss. The study design captures only the endpoints: it prescribes diets to create these conditions and measures final body composition changes, but does not measure actual energy balance (via doubly labeled water or precise intake/expenditure tracking) or metabolic partitioning (via stable isotopes or hormonal assays) to confirm the proposed mechanisms are operating."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample (overfat, moderately active adults without comorbidities) matches the population for which weight loss theories like Caloric and Nutrient Balance are typically applied and tested."",
  ""notes"": ""The primary theoretical claim involves two operational theories predicting weight/body composition outcomes. The measured DVs (body mass, fat mass, fat-free mass) align with the ultimate outcomes of both theories. However, the core constructs of 'energy balance' and 'nutrient balance' are operationalized only as dietary prescriptions (the IVs), not as measured mediating variables. The study tests if different dietary prescriptions lead to different outcomes, but does not measure the theoretical mechanisms (energy deficit, metabolic partitioning) that are supposed to explain *why* the outcomes occur. This is a classic endpoints-only design."",
  ""methods_extraction_error"": false
}
```"
Study016,not_applicable,"No theoretical framework or specific theoretical constructs were identified in the introduction (Pass 1). The study appears to be descriptive, comparing physiological and performance outcomes between ROTC cadets undergoing a HIIT program and matched controls over time, without testing predictions derived from a named theory.",not_applicable,NA,within,"The sample (college-aged, physically active ROTC cadets and matched controls) is appropriate for a study investigating the physiological effects of a structured military training program.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No theoretical framework or specific theoretical constructs were identified in the introduction (Pass 1). The study appears to be descriptive, comparing physiological and performance outcomes between ROTC cadets undergoing a HIIT program and matched controls over time, without testing predictions derived from a named theory."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample (college-aged, physically active ROTC cadets and matched controls) is appropriate for a study investigating the physiological effects of a structured military training program."",
  ""notes"": ""The methods section describes comprehensive physiological and performance measures (body composition via DXA/pQCT, bone biomarkers, muscle strength, aerobic capacity), but without a stated theoretical framework from the introduction, there are no specified theoretical constructs to align these measures against. The study design is observational/comparative rather than theory-testing."",
  ""methods_extraction_error"": false
}
```"
Study018,not_applicable,"No operational theory was identified in Pass 1, so there are no theoretical constructs specified against which to assess alignment. The methods section describes methodological limitations but does not present specific outcome measures or operational definitions of constructs.",not_applicable,NA,within,"The sample consists of sub-elite male sprinters, which is an appropriate population for studying sprint performance and caffeine supplementation effects in athletics.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No operational theory was identified in Pass 1, so there are no theoretical constructs specified against which to assess alignment. The methods section describes methodological limitations but does not present specific outcome measures or operational definitions of constructs."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of sub-elite male sprinters, which is an appropriate population for studying sprint performance and caffeine supplementation effects in athletics."",
  ""notes"": ""The Pass 1 analysis identified no operational theory, only a general reference to 'Force-Velocity/Power Determinants Of Sprint Acceleration' which was not classified as operational. Without a specified theoretical framework with testable constructs, construct validity assessment cannot proceed. The methods section provided is actually a 'methodological considerations' discussion rather than the primary methods description, so no outcome measures are listed to evaluate."",
  ""methods_extraction_error"": true
}
```"
Study019,aligned,"The study measures muscle strength (maximal ankle plantarflexion moment), tendon stiffness, maximal tendon strain, muscle morphological properties (thickness, pennation angle), and tendon morphological/material properties (CSA, length, Young's modulus, PSF). These directly operationalise the key constructs of the Mechano-Metabolic Sensitivity Framework (muscle mechanical load, tendon strain, metabolic stress) and the Tendon Strain-Based Adaptation Model (tendon strain, stiffness, material properties). All constructs specified by these frameworks are measured.",mechanism_measured,"The theoretical mechanism posits that different muscle-tendon unit lengths (via ankle joint angles) create varying levels of mechanical load and tendon strain during fatiguing exercise, which differentially drive adaptations in muscle and tendon properties. The study design captures this by: 1) manipulating MTU length (DF vs PF conditions), 2) measuring the immediate mechanical stimuli (joint moments and tendon strain during training), and 3) tracking adaptations in muscle and tendon properties over time.",within,"The sample consists of healthy young individuals, which matches the population for which mechano-metabolic adaptation frameworks in human locomotor tissues are typically developed and tested.",FALSE,"```json
{
  ""construct_validity_alignment"": ""aligned"",
  ""alignment_rationale"": ""The study measures muscle strength (maximal ankle plantarflexion moment), tendon stiffness, maximal tendon strain, muscle morphological properties (thickness, pennation angle), and tendon morphological/material properties (CSA, length, Young's modulus, PSF). These directly operationalise the key constructs of the Mechano-Metabolic Sensitivity Framework (muscle mechanical load, tendon strain, metabolic stress) and the Tendon Strain-Based Adaptation Model (tendon strain, stiffness, material properties). All constructs specified by these frameworks are measured."",
  ""mechanism_operationalisation"": ""mechanism_measured"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism posits that different muscle-tendon unit lengths (via ankle joint angles) create varying levels of mechanical load and tendon strain during fatiguing exercise, which differentially drive adaptations in muscle and tendon properties. The study design captures this by: 1) manipulating MTU length (DF vs PF conditions), 2) measuring the immediate mechanical stimuli (joint moments and tendon strain during training), and 3) tracking adaptations in muscle and tendon properties over time."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of healthy young individuals, which matches the population for which mechano-metabolic adaptation frameworks in human locomotor tissues are typically developed and tested."",
  ""notes"": ""The Mechano-Metabolic Sensitivity Framework requires measurement of mechanical stimuli (load, strain) and metabolic stress during exercise, plus subsequent structural/functional adaptations. The study measures joint moments (mechanical load) and tendon strain during training, uses failure training to induce metabolic stress, and tracks changes in muscle strength, architecture, tendon stiffness, strain capacity, and material properties. The Tendon Strain-Based Adaptation Model specifically requires measurement of tendon strain during loading and subsequent tendon adaptations, which are both captured."",
  ""methods_extraction_error"": false
}
```"
Study020,not_applicable,"No theoretical framework or specific theory was identified in Pass 1. The study is purely descriptive, aiming to measure and compare muscle activation levels across different plank variations without testing predictions derived from a formal theory.",not_applicable,NA,within,"The sample of healthy, physically active males without upper-extremity pathology is appropriate for a descriptive study of muscle activation during plank exercises.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No theoretical framework or specific theory was identified in Pass 1. The study is purely descriptive, aiming to measure and compare muscle activation levels across different plank variations without testing predictions derived from a formal theory."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample of healthy, physically active males without upper-extremity pathology is appropriate for a descriptive study of muscle activation during plank exercises."",
  ""notes"": ""The study is atheoretical. It measures muscle activation (EMG) as a direct outcome, not as an operationalization of a latent construct from a psychological, biomechanical, or motor control theory. The design is comparative (different plank types) rather than explanatory."",
  ""methods_extraction_error"": false
}
```"
Study021,not_applicable,"No operational theory was identified in Pass 1. The study describes an experimental comparison of training timing (fasted vs. fed) during Ramadan, but does not invoke a specific theoretical framework that makes predictions about underlying psychological or physiological constructs.",not_applicable,NA,within,"The sample consists of healthy Muslim recreational male weightlifters observing Ramadan, which is the precise population and condition the study aims to investigate.",FALSE,"```json
{
  ""construct_validity_alignment"": ""not_applicable"",
  ""alignment_rationale"": ""No operational theory was identified in Pass 1. The study describes an experimental comparison of training timing (fasted vs. fed) during Ramadan, but does not invoke a specific theoretical framework that makes predictions about underlying psychological or physiological constructs."",
  ""mechanism_operationalisation"": ""not_applicable"",
  ""mechanism_operationalisation_detail"": null,
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of healthy Muslim recreational male weightlifters observing Ramadan, which is the precise population and condition the study aims to investigate."",
  ""notes"": ""The study measures anthropometrics (body mass, BMI, body fat), strength (1RM), muscle morphology (CSA of quadriceps and biceps brachii), perceived exertion (RPE), and sleep quality (PSQI). Without a stated theoretical framework specifying constructs, there is no basis for assessing construct alignment or mechanism operationalisation. The design is descriptive/comparative rather than theory-testing."",
  ""methods_extraction_error"": false
}
```"
Study022,partial,"The study measures several physiological and performance outcomes relevant to overreaching (e.g., 5 km time-trial power, HRmax, lactate, well-being scores, LSCT responses) which align with the operational definition of overreaching provided. However, the study also collects extensive metabolic data (CGM glucose, substrate utilization via RER, leptin, epinephrine) that are invoked by the 'Carbohydrate Utilization Alteration Hypothesis' but are not explicitly linked to a clear, testable theoretical mechanism in the introduction. The primary theoretical construct of 'overreaching' is measured, but the secondary metabolic hypothesis is not fully integrated into the operational definition of the main outcome.",endpoints_only,"The theoretical mechanism implied by the Carbohydrate Utilization Alteration Hypothesis is that overload training alters carbohydrate metabolism (e.g., glucose availability/utilization), which contributes to the state of overreaching. The study design captures endpoints (training overload and overreaching status) and intermediate metabolic variables (glucose, RER, hormones), but it does not test whether changes in carbohydrate metabolism mediate the development of overreaching. The metabolic measures are collected concurrently rather than as a linking mechanism.",within,"The sample consists of endurance athletes performing high-intensity overload training, which matches the population and conditions for which overreaching models and metabolic alteration hypotheses are typically developed and applied.",FALSE,"```json
{
  ""construct_validity_alignment"": ""partial"",
  ""alignment_rationale"": ""The study measures several physiological and performance outcomes relevant to overreaching (e.g., 5 km time-trial power, HRmax, lactate, well-being scores, LSCT responses) which align with the operational definition of overreaching provided. However, the study also collects extensive metabolic data (CGM glucose, substrate utilization via RER, leptin, epinephrine) that are invoked by the 'Carbohydrate Utilization Alteration Hypothesis' but are not explicitly linked to a clear, testable theoretical mechanism in the introduction. The primary theoretical construct of 'overreaching' is measured, but the secondary metabolic hypothesis is not fully integrated into the operational definition of the main outcome."",
  ""mechanism_operationalisation"": ""endpoints_only"",
  ""mechanism_operationalisation_detail"": ""The theoretical mechanism implied by the Carbohydrate Utilization Alteration Hypothesis is that overload training alters carbohydrate metabolism (e.g., glucose availability/utilization), which contributes to the state of overreaching. The study design captures endpoints (training overload and overreaching status) and intermediate metabolic variables (glucose, RER, hormones), but it does not test whether changes in carbohydrate metabolism mediate the development of overreaching. The metabolic measures are collected concurrently rather than as a linking mechanism."",
  ""population_boundary_fit"": ""within"",
  ""population_boundary_rationale"": ""The sample consists of endurance athletes performing high-intensity overload training, which matches the population and conditions for which overreaching models and metabolic alteration hypotheses are typically developed and applied."",
  ""notes"": ""The Overreaching Model is operationalized via a composite criterion (5 measures). The Carbohydrate Utilization Alteration Hypothesis is invoked but not formally tested as a mechanistic pathway; metabolic measures are collected but not positioned as mediators between overload and overreaching status. Thus, alignment is partial because the primary construct (overreaching) is measured, but the secondary theoretical idea (carbohydrate alteration) is not fully integrated into the hypothesis test."",
  ""methods_extraction_error"": false
}
```"
